num_layers,num_epochs,batch_size,test_loss
30,170,20,0.0055163586512207985
30,170,30,0.0055218469351530075
30,170,40,0.006661070045083761
30,170,50,0.007364660035818815
30,170,60,0.006566832773387432
30,170,70,0.008546185679733753
30,170,80,0.005811184179037809
30,170,90,0.006125414278358221
30,170,100,0.0062039513140916824
30,180,10,0.0050462898798286915
30,180,20,0.005348009988665581
30,180,30,0.005689349956810474
30,180,40,0.005980994552373886
30,180,50,0.006665581371635199
30,180,60,0.007427650969475508
30,180,70,0.006316852755844593
30,180,80,0.006592150311917067
30,180,90,0.0065355319529771805
30,180,100,0.008289948105812073
30,190,10,0.005350280553102493
30,190,20,0.005588460713624954
30,190,30,0.005724173970520496
30,190,40,0.00629595760256052
30,190,50,0.00616770563647151
30,190,60,0.006993022281676531
30,190,70,0.007723930757492781
30,190,80,0.007020086981356144
30,190,90,0.006548876408487558
30,190,100,0.007791547104716301
30,200,10,0.004798742942512035
30,200,20,0.005826802458614111
30,200,30,0.006090635433793068
30,200,40,0.005762096960097551
30,200,50,0.0067557985894382
30,200,60,0.005993123631924391
30,200,70,0.006448106840252876
30,200,80,0.006922560278326273
